character	initial	final	tone	mc
㞒	x	rj	2	xrai2
㞒	x	ej	2	xrai2
㞓	ꝁ	i	2	ꝁjii2
㞔		i	0	
㞕	s	in	3	suot
㞖	ṯ	i	0	
㞗	c	rv	0	
㞗	k	rv	0	
㞘	t	ug	3	
㞙	n	iv	2	neu2
㞚	ŧj	rm	3	ṯrip,ţrep,srap
㞛	k	i	1	kjii1
㞜	ŧ	uj	0	ŧuai0
㞝	ṯ	ig	3	
㞞	z	ug	0	
㞞	ḑ	ug	0	
㞟	d	in	2	teg1,den2
㞠	l	iv	0	
㞡	tj	in	1	trien1
㞢	tj	i	0	ţji0
㞣	ꝑv	rn	0	byon0,ꝑyon0
㞤	j	rm	0	
㞥	zj	rm	0	ḑrim0
㞦	k	i	1	kjii1
㞧		uj	2	
㞨	ţ	i	1	
㞩	l	am	0	
㞪	n	ov	0	
㞫	ţ	rv	1	
㞬	qj	rn	1	
㞭	d	aj	2	
㞮	g	rj	0	
㞯	x	ej	1	
㞰	x	wj	1	
㞱	s	ug	0	
㞲	j	ug	2	
㞳	t	rv	1	
㞴	ḑ	i	0	
㞵	ŧ	ov	0	
㞶	m	rn	0	
㞷	v	og	0	ţyag0
㞸	s	wj	2	
㞹	x	o	1	
㞺	ḑ	ug	3	
㞻	h	ov	2	
㞼	z	ig	0	
㞽	x	yn	3	xyat
㞾	n	ej	0	
㞿	c	ej	0	
㟀	l	in	0	
㟁	g	on	2	
㟂	m	ov	1	
㟃	s	i	0	
㟄	ḑ	wg	0	
㟅	g	og	0	lug0,gug0,grug0
㟇	ţ	o	2	
㟈	c	rv	0	
㟉	l	ov	0	lau0
㟊	bhv	rv	0	
㟋	d	uj	2	duad0
㟌	m	og	0	mrug0
㟍	l	og	0	lag0
㟎	ŧ	o	1	ŧuai1,ŧua1
㟏	h	om	0	xom0
㟐	m	og	1	mag1,mag2
㟑	b	un	3	
㟒	ꝁv	rn	0	
㟓	c	ej	0	
㟔	h	rm	0	
㟕	k	iv	2	
㟖	l	ug	2	
㟗	p	rn	0	
